,model,category,corr
128,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),logical reasoning,-0.012764241128735329
129,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),science & technology,
130,Qwen3‑VL‑4B | SFT‑Blind VQA,coarse perception,0.39548992448289894
131,Qwen3‑VL‑4B | SFT‑Blind VQA,fine-grained perception,0.4156782431054306
132,Qwen3‑VL‑4B | SFT‑Blind VQA,instance reasoning,0.43051660269855535
133,Qwen3‑VL‑4B | SFT‑Blind VQA,logical reasoning,0.07575757575757575
134,Qwen3‑VL‑4B | SFT‑Blind VQA,science & technology,
135,Qwen3‑VL‑4B | SFT‑VQA,coarse perception,0.3770565550025444
136,Qwen3‑VL‑4B | SFT‑VQA,fine-grained perception,0.3319521913486572
137,Qwen3‑VL‑4B | SFT‑VQA,instance reasoning,0.38278465996526984
138,Qwen3‑VL‑4B | SFT‑VQA,logical reasoning,0.10606060606060606
139,Qwen3‑VL‑4B | SFT‑VQA,science & technology,
140,Qwen3‑VL‑8B,coarse perception,0.33227047848698726
141,Qwen3‑VL‑8B,fine-grained perception,0.38167467877228317
142,Qwen3‑VL‑8B,instance reasoning,0.30475599941607473
143,Qwen3‑VL‑8B,logical reasoning,0.07575757575757575
144,Qwen3‑VL‑8B,science & technology,
145,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),coarse perception,0.4647927672628958
146,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),fine-grained perception,0.3835248326272651
147,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),instance reasoning,0.283779844004825
148,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),logical reasoning,0.13109065418535334
149,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),science & technology,
150,Qwen3‑VL‑8B | JS‑Blind VQA (GT),coarse perception,0.3292414953581163
151,Qwen3‑VL‑8B | JS‑Blind VQA (GT),fine-grained perception,0.4188279828064845
152,Qwen3‑VL‑8B | JS‑Blind VQA (GT),instance reasoning,0.3058669848283437
153,Qwen3‑VL‑8B | JS‑Blind VQA (GT),logical reasoning,-0.016003962307254278
154,Qwen3‑VL‑8B | JS‑Blind VQA (GT),science & technology,
155,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),coarse perception,0.376611363375996
156,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),fine-grained perception,0.4285905462807072
157,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),instance reasoning,0.33389722340014116
158,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),logical reasoning,0.07575757575757575
159,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),science & technology,
160,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),coarse perception,0.3292414953581163
161,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),fine-grained perception,0.4188279828064845
162,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),instance reasoning,0.3058669848283437
163,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),logical reasoning,-0.016003962307254278
164,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),science & technology,
165,Qwen3‑VL‑8B | SFT‑Blind MMStar,coarse perception,0.40113667842670364
166,Qwen3‑VL‑8B | SFT‑Blind MMStar,fine-grained perception,0.34974809692651815
167,Qwen3‑VL‑8B | SFT‑Blind MMStar,instance reasoning,0.21699211926800108
168,Qwen3‑VL‑8B | SFT‑Blind MMStar,logical reasoning,0.1939355919928869
169,Qwen3‑VL‑8B | SFT‑Blind MMStar,science & technology,
170,Qwen3‑VL‑8B | SFT‑Blind VQA,coarse perception,0.3290200502916264
171,Qwen3‑VL‑8B | SFT‑Blind VQA,fine-grained perception,0.4142525457203264
172,Qwen3‑VL‑8B | SFT‑Blind VQA,instance reasoning,0.30313976293726724
173,Qwen3‑VL‑8B | SFT‑Blind VQA,logical reasoning,0.16090095228833431
174,Qwen3‑VL‑8B | SFT‑Blind VQA,science & technology,
