,model,model_type,eval_metric,pearson_r,pearson_p,spearman_r,spearman_p,slope,intercept,std_err,model_avg,human_avg,num_question_types,min_q_per_type,median_q_per_type,max_q_per_type
46,Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
47,Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,open-source model,correct,0.8556951038780632,4.455414088773242e-17,0.875603861848689,1.056066707295504e-18,0.6248198505851744,42.53522378077161,0.05142007857051911,64.85017112811033,35.71420998618991,56,2,10.0,72
48,Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
49,Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,open-source model,correct,0.8721502772352572,2.1126446853823093e-18,0.8942724542143456,1.6763593518130603e-20,0.6269209974247232,41.62583210367048,0.04785693286476027,64.01582025044867,35.71420998618991,56,2,10.0,72
50,llava-v1.6-mistral-7b-hf_A1_vqa_gt,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
51,llava-v1.6-mistral-7b-hf_A1_vqa_gt,open-source model,correct,0.776465875370769,2.0368450507829815e-12,0.7619613872183908,9.072847202343134e-12,0.4764066119516479,53.10849325826105,0.05261491549169517,70.12297903631149,35.71420998618991,56,2,10.0,72
52,llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
53,llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,open-source model,correct,0.82063270111344,9.839424538284395e-15,0.8247106462826005,5.591038394638633e-15,0.6257652429597709,41.00643114758513,0.059299160072803024,63.355142436709535,35.71420998618991,56,2,10.0,72
54,llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
55,llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,open-source model,correct,0.8286454844804637,3.195718168588403e-15,0.8372628252607295,8.920498263017252e-16,0.6160356142839232,45.09063782705648,0.056630801462530814,67.091863114564,35.71420998618991,56,2,10.0,72
56,llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
57,llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,open-source model,correct,0.8367196209944421,9.688685266252096e-16,0.8520013101834523,8.388559026916952e-17,0.6186596313959112,45.30543791645539,0.055101494458226055,67.4003779021078,35.71420998618991,56,2,10.0,72
58,llava-1.5-7b-hf,open-source model,answer_similarity,0.9373944733158129,2.1094816905607756e-26,0.8729939138030216,1.7868027456157547e-18,83.27834475938508,21.135806952388172,4.210446767607052,72.60968936690838,0.6180944465604229,56,3,15.0,108
59,llava-1.5-7b-hf,open-source model,correct,0.8881124765406948,7.129646122946388e-20,0.8448515599765034,2.722906852376852e-16,0.8035373932841237,25.05203186455452,0.0565908220060053,53.74973506005938,35.71420998618991,56,3,15.0,108
60,llava-v1.6-vicuna-7b-hf,open-source model,answer_similarity,0.9489845757048173,9.736183347348685e-29,0.9040139622986213,1.4013633456607684e-21,77.47902817443551,27.9078795836675,3.5033464204378237,75.79723662318463,0.6180944465604229,56,3,15.0,108
61,llava-v1.6-vicuna-7b-hf,open-source model,correct,0.8662594418845582,6.59006924161103e-18,0.8524759930016343,7.740917852824315e-17,0.7387151075863847,31.782433010446734,0.05797619303684253,58.16505948275775,35.71420998618991,56,3,15.0,108
