,,,,mean,mean,mean,MG,inst_acc
InternVL 3.5 (1B),54.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),55.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),56.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),57.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),58.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),59.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),60.0,coarse perception,image scene and topic,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (1B),61.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),62.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),63.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),64.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),65.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),66.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),67.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),68.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),69.0,coarse perception,image emotion,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),70.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),71.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),72.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),73.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),74.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),75.0,coarse perception,image scene and topic,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),76.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),77.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),78.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),79.0,coarse perception,image scene and topic,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (1B),80.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),81.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),82.0,coarse perception,image scene and topic,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),83.0,coarse perception,image scene and topic,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),84.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),85.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),86.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),87.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),88.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),89.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),90.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),91.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),92.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),93.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),94.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),95.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),96.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),97.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),98.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),99.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),100.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),101.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),102.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),103.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),104.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),105.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),106.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),107.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),108.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),109.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),110.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),111.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),112.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),113.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),114.0,coarse perception,image scene and topic,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (1B),115.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),116.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),117.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),118.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),119.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),120.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),121.0,coarse perception,image scene and topic,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (1B),122.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),123.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),124.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),125.0,coarse perception,image scene and topic,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (1B),126.0,coarse perception,image scene and topic,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (1B),127.0,coarse perception,image scene and topic,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (1B),128.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),129.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),130.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),131.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),132.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),133.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),134.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),135.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),136.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),137.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),138.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),139.0,coarse perception,image emotion,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),140.0,coarse perception,image emotion,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),141.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),142.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),143.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),144.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),145.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),146.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),147.0,coarse perception,image style & quality,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),148.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),149.0,coarse perception,image style & quality,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),150.0,coarse perception,image style & quality,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),151.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),152.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),153.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),154.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),155.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),156.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),157.0,coarse perception,image style & quality,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),158.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),159.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),160.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),161.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),162.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),163.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),164.0,coarse perception,image emotion,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),165.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),166.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),167.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),168.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),169.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),170.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),171.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),172.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),173.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),174.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),175.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),176.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),177.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),178.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),179.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),180.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),181.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),182.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),183.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),184.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),185.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),186.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),187.0,coarse perception,image emotion,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),188.0,coarse perception,image emotion,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),189.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),190.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),191.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),192.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),193.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),194.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),195.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),196.0,coarse perception,image emotion,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),197.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),198.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),199.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),200.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),201.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),202.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),203.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),204.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),205.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),206.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),207.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),208.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),209.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),210.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),211.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),212.0,coarse perception,image emotion,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),213.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),214.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),215.0,coarse perception,image style & quality,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (1B),216.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),217.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),218.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),219.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),220.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),221.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),222.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),223.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),224.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),225.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),226.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),227.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),228.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),229.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),230.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),231.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),232.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),233.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),234.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),235.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),236.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),237.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),238.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),239.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),240.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),241.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),242.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),243.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),244.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),245.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),246.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),247.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),248.0,coarse perception,image emotion,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),249.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),250.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),251.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),252.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),253.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),254.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),255.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),256.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),257.0,fine-grained perception,localization,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),258.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),259.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),260.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),261.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),262.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),263.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),264.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),265.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),266.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),267.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),268.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),269.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),270.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),271.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),272.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),273.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),274.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),275.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),276.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),277.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),278.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),279.0,fine-grained perception,localization,0.0,100.0,100.0,-100.0,0.0
