,model,finetuned,cc_quadrant,MG
25,InternVL 3.5 (8B),JS-Blind VQA (n=15),Model-Only,-7.485714285714286
26,InternVL 3.5 (8B),JS-Blind VQA (n=15),Shared Correct,-0.7641221374045802
27,InternVL 3.5 (8B),JS-Blind VQA (n=15),Shared Wrong,72.66067415730338
28,InternVL 3.5 (8B),Pretrained,Human-Only,81.82727272727273
29,InternVL 3.5 (8B),Pretrained,Model-Only,-10.321428571428571
30,InternVL 3.5 (8B),Pretrained,Shared Correct,-0.8016000000000001
31,InternVL 3.5 (8B),Pretrained,Shared Wrong,77.11783783783784
32,InternVL 3.5 (8B),SFT-Blind VQA,Human-Only,76.2
33,InternVL 3.5 (8B),SFT-Blind VQA,Model-Only,-5.446938775510205
34,InternVL 3.5 (8B),SFT-Blind VQA,Shared Correct,-1.0037593984962405
35,InternVL 3.5 (8B),SFT-Blind VQA,Shared Wrong,73.03483146067416
36,InternVL 3.5 (8B),SFT-VQA,Human-Only,86.465625
37,InternVL 3.5 (8B),SFT-VQA,Model-Only,-4.0192771084337355
38,InternVL 3.5 (8B),SFT-VQA,Shared Correct,-0.5808695652173914
39,InternVL 3.5 (8B),SFT-VQA,Shared Wrong,70.60416666666667
40,LLaVA‑1.5 (7B),Pretrained,Human-Only,86.81041666666665
41,LLaVA‑1.5 (7B),Pretrained,Model-Only,-10.216129032258063
42,LLaVA‑1.5 (7B),Pretrained,Shared Correct,-0.6747474747474749
43,LLaVA‑1.5 (7B),Pretrained,Shared Wrong,68.28363636363636
44,LLaVA‑Mistral (7B),JS VQA (GT),Human-Only,85.3
45,LLaVA‑Mistral (7B),JS VQA (GT),Model-Only,-5.557291666666667
46,LLaVA‑Mistral (7B),JS VQA (GT),Shared Correct,-0.5911504424778762
47,LLaVA‑Mistral (7B),JS VQA (GT),Shared Wrong,72.0114503816794
48,LLaVA‑Mistral (7B),JS-Blind MMStar (n=15),Human-Only,83.33928571428571
49,LLaVA‑Mistral (7B),JS-Blind MMStar (n=15),Model-Only,-4.506756756756757
50,LLaVA‑Mistral (7B),JS-Blind MMStar (n=15),Shared Correct,-1.9613445378151262
51,LLaVA‑Mistral (7B),JS-Blind MMStar (n=15),Shared Wrong,71.02418300653595
52,LLaVA‑Mistral (7B),JS-Blind VQA (n=10),Human-Only,64.45333333333333
53,LLaVA‑Mistral (7B),JS-Blind VQA (n=10),Model-Only,-3.253658536585366
54,LLaVA‑Mistral (7B),JS-Blind VQA (n=10),Shared Correct,-2.5257575757575754
55,LLaVA‑Mistral (7B),JS-Blind VQA (n=10),Shared Wrong,70.0736559139785
56,LLaVA‑Mistral (7B),JS-Blind VQA (n=15),Human-Only,63.9
57,LLaVA‑Mistral (7B),JS-Blind VQA (n=15),Model-Only,-5.0025
58,LLaVA‑Mistral (7B),JS-Blind VQA (n=15),Shared Correct,-2.222962962962963
59,LLaVA‑Mistral (7B),JS-Blind VQA (n=15),Shared Wrong,70.2336898395722
60,LLaVA‑Mistral (7B),Pretrained,Human-Only,91.27380952380952
61,LLaVA‑Mistral (7B),Pretrained,Model-Only,-7.354411764705882
62,LLaVA‑Mistral (7B),Pretrained,Shared Correct,-0.9542857142857144
63,LLaVA‑Mistral (7B),Pretrained,Shared Wrong,72.74716981132075
64,LLaVA‑Mistral (7B),SFT-Blind MMStar,Human-Only,79.4923076923077
65,LLaVA‑Mistral (7B),SFT-Blind MMStar,Model-Only,-3.5586666666666673
66,LLaVA‑Mistral (7B),SFT-Blind MMStar,Shared Correct,-1.377685950413223
67,LLaVA‑Mistral (7B),SFT-Blind MMStar,Shared Wrong,71.27302631578948
68,LLaVA‑Mistral (7B),SFT-Blind VQA,Human-Only,57.59090909090909
69,LLaVA‑Mistral (7B),SFT-Blind VQA,Model-Only,-5.717142857142858
70,LLaVA‑Mistral (7B),SFT-Blind VQA,Shared Correct,-2.206617647058824
71,LLaVA‑Mistral (7B),SFT-Blind VQA,Shared Wrong,62.153645833333336
72,LLaVA‑Mistral (7B),SFT-VQA,Human-Only,84.62051282051281
73,LLaVA‑Mistral (7B),SFT-VQA,Model-Only,-7.562886597938145
74,LLaVA‑Mistral (7B),SFT-VQA,Shared Correct,-2.161111111111111
75,LLaVA‑Mistral (7B),SFT-VQA,Shared Wrong,73.33538461538461
76,LLaVA‑Vicuna (7B),Pretrained,Human-Only,87.18205128205128
77,LLaVA‑Vicuna (7B),Pretrained,Model-Only,-5.778666666666666
78,LLaVA‑Vicuna (7B),Pretrained,Shared Correct,0.6148148148148146
79,LLaVA‑Vicuna (7B),Pretrained,Shared Wrong,71.71118421052631
80,Qwen3‑VL (2B),Pretrained,Human-Only,88.62439024390244
81,Qwen3‑VL (2B),Pretrained,Model-Only,-6.451612903225806
82,Qwen3‑VL (2B),Pretrained,Shared Correct,-2.517924528301887
83,Qwen3‑VL (2B),Pretrained,Shared Wrong,65.45515151515151
84,Qwen3‑VL (4B),JS VQA (GT),Human-Only,88.8923076923077
85,Qwen3‑VL (4B),JS VQA (GT),Model-Only,-6.945833333333334
86,Qwen3‑VL (4B),JS VQA (GT),Shared Correct,-1.2351851851851852
87,Qwen3‑VL (4B),JS VQA (GT),Shared Wrong,75.4858064516129
88,Qwen3‑VL (4B),JS-Blind MMStar (n=15),Human-Only,87.35862068965517
89,Qwen3‑VL (4B),JS-Blind MMStar (n=15),Model-Only,-8.19122807017544
90,Qwen3‑VL (4B),JS-Blind MMStar (n=15),Shared Correct,-0.8483050847457628
91,Qwen3‑VL (4B),JS-Blind MMStar (n=15),Shared Wrong,72.74588235294117
92,Qwen3‑VL (4B),JS-Blind VQA (n=10),Human-Only,85.19444444444444
93,Qwen3‑VL (4B),JS-Blind VQA (n=10),Model-Only,-6.822727272727274
94,Qwen3‑VL (4B),JS-Blind VQA (n=10),Shared Correct,-2.068217054263566
95,Qwen3‑VL (4B),JS-Blind VQA (n=10),Shared Wrong,70.31092896174863
96,Qwen3‑VL (4B),JS-Blind VQA (n=15),Human-Only,85.425
97,Qwen3‑VL (4B),JS-Blind VQA (n=15),Model-Only,-6.387234042553192
98,Qwen3‑VL (4B),JS-Blind VQA (n=15),Shared Correct,-1.2732824427480918
99,Qwen3‑VL (4B),JS-Blind VQA (n=15),Shared Wrong,70.74166666666666
100,Qwen3‑VL (4B),Pretrained,Human-Only,90.47857142857143
101,Qwen3‑VL (4B),Pretrained,Model-Only,-8.335714285714285
102,Qwen3‑VL (4B),Pretrained,Shared Correct,-1.681512605042017
103,Qwen3‑VL (4B),Pretrained,Shared Wrong,73.29415204678362
104,Qwen3‑VL (4B),SFT-Blind VQA,Human-Only,82.36470588235295
105,Qwen3‑VL (4B),SFT-Blind VQA,Model-Only,-6.352380952380953
106,Qwen3‑VL (4B),SFT-Blind VQA,Shared Correct,-1.2830769230769232
107,Qwen3‑VL (4B),SFT-Blind VQA,Shared Wrong,70.6318918918919
108,Qwen3‑VL (4B),SFT-VQA,Human-Only,88.8923076923077
109,Qwen3‑VL (4B),SFT-VQA,Model-Only,-8.837349397590362
110,Qwen3‑VL (4B),SFT-VQA,Shared Correct,-0.6185185185185186
111,Qwen3‑VL (4B),SFT-VQA,Shared Wrong,77.54861111111111
112,Qwen3‑VL (8B),JS VQA (GT),Human-Only,90.005
113,Qwen3‑VL (8B),JS VQA (GT),Model-Only,-6.991935483870968
114,Qwen3‑VL (8B),JS VQA (GT),Shared Correct,-0.31308411214953286
115,Qwen3‑VL (8B),JS VQA (GT),Shared Wrong,78.78969696969696
116,Qwen3‑VL (8B),JS-Blind MMStar (n=15),Human-Only,88.34
117,Qwen3‑VL (8B),JS-Blind MMStar (n=15),Model-Only,-9.635555555555555
118,Qwen3‑VL (8B),JS-Blind MMStar (n=15),Shared Correct,-0.788976377952756
119,Qwen3‑VL (8B),JS-Blind MMStar (n=15),Shared Wrong,80.22197802197802
120,Qwen3‑VL (8B),JS-Blind VQA (n=10),Human-Only,82.46315789473684
121,Qwen3‑VL (8B),JS-Blind VQA (n=10),Model-Only,-7.505000000000001
122,Qwen3‑VL (8B),JS-Blind VQA (n=10),Shared Correct,-1.04296875
123,Qwen3‑VL (8B),JS-Blind VQA (n=10),Shared Wrong,75.75989304812835
124,Qwen3‑VL (8B),JS-Blind VQA (n=15),Human-Only,90.005
125,Qwen3‑VL (8B),JS-Blind VQA (n=15),Model-Only,-6.991935483870968
126,Qwen3‑VL (8B),JS-Blind VQA (n=15),Shared Correct,-0.31308411214953286
127,Qwen3‑VL (8B),JS-Blind VQA (n=15),Shared Wrong,78.78969696969696
128,Qwen3‑VL (8B),Pretrained,Human-Only,85.72142857142856
129,Qwen3‑VL (8B),Pretrained,Model-Only,-6.175925925925926
130,Qwen3‑VL (8B),Pretrained,Shared Correct,-0.8411764705882354
131,Qwen3‑VL (8B),Pretrained,Shared Wrong,79.3849710982659
132,Qwen3‑VL (8B),SFT-Blind MMStar,Human-Only,87.72631578947369
133,Qwen3‑VL (8B),SFT-Blind MMStar,Model-Only,-8.338636363636365
134,Qwen3‑VL (8B),SFT-Blind MMStar,Shared Correct,-0.7828125000000001
135,Qwen3‑VL (8B),SFT-Blind MMStar,Shared Wrong,78.87322404371584
136,Qwen3‑VL (8B),SFT-Blind VQA,Human-Only,77.78666666666666
137,Qwen3‑VL (8B),SFT-Blind VQA,Model-Only,-7.694871794871795
138,Qwen3‑VL (8B),SFT-Blind VQA,Shared Correct,-1.0106060606060607
139,Qwen3‑VL (8B),SFT-Blind VQA,Shared Wrong,76.95212765957447
