,,,,mean,mean,mean,MG
InternVL3_5-1B,65,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,66,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,67,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,68,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,69,coarse perception,image emotion,0.0,0.0,0.0,0.0
InternVL3_5-1B,70,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,71,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,72,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,73,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,74,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,75,coarse perception,image scene and topic,1.0,1.0,0.0,1.0
InternVL3_5-1B,76,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,77,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,78,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,79,coarse perception,image scene and topic,0.0,1.0,0.0,0.0
InternVL3_5-1B,80,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,81,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,82,coarse perception,image scene and topic,1.0,1.0,0.0,1.0
InternVL3_5-1B,83,coarse perception,image scene and topic,1.0,1.0,0.0,1.0
InternVL3_5-1B,84,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,85,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,86,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,87,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,88,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,89,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,90,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,91,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,92,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,93,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,94,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,95,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,96,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,97,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,98,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,99,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,100,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,101,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,102,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,103,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,104,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,105,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,106,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,107,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,108,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,109,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,110,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,111,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,112,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,113,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,114,coarse perception,image scene and topic,0.0,0.0,1.0,-1.0
InternVL3_5-1B,115,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,116,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,117,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,118,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,119,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,120,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,121,coarse perception,image scene and topic,0.0,1.0,0.0,0.0
InternVL3_5-1B,122,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,123,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,124,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,125,coarse perception,image scene and topic,0.0,0.0,1.0,-1.0
InternVL3_5-1B,126,coarse perception,image scene and topic,0.0,1.0,0.0,0.0
InternVL3_5-1B,127,coarse perception,image scene and topic,0.0,0.0,1.0,-1.0
InternVL3_5-1B,128,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,129,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,130,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,131,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,132,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,133,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,134,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,135,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,136,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,137,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,138,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,139,coarse perception,image emotion,0.0,1.0,1.0,-1.0
InternVL3_5-1B,140,coarse perception,image emotion,0.0,0.0,0.0,0.0
InternVL3_5-1B,141,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,142,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,143,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,144,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,145,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,146,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,147,coarse perception,image style & quality,0.0,1.0,1.0,-1.0
InternVL3_5-1B,148,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,149,coarse perception,image style & quality,0.0,1.0,1.0,-1.0
InternVL3_5-1B,150,coarse perception,image style & quality,0.0,1.0,1.0,-1.0
InternVL3_5-1B,151,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,152,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,153,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,154,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,155,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,156,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,157,coarse perception,image style & quality,0.0,1.0,1.0,-1.0
InternVL3_5-1B,158,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,159,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,160,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,161,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,162,coarse perception,image style & quality,1.0,0.0,1.0,0.0
InternVL3_5-1B,163,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,164,coarse perception,image emotion,1.0,1.0,0.0,1.0
InternVL3_5-1B,165,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,166,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,167,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,168,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,169,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,170,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,171,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,172,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,173,coarse perception,image style & quality,1.0,0.0,1.0,0.0
InternVL3_5-1B,174,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,175,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,176,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,177,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,178,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,179,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,180,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,181,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,182,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,183,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,184,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,185,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,186,coarse perception,image style & quality,1.0,0.0,1.0,0.0
InternVL3_5-1B,187,coarse perception,image emotion,1.0,1.0,0.0,1.0
InternVL3_5-1B,188,coarse perception,image emotion,1.0,1.0,0.0,1.0
InternVL3_5-1B,189,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,190,coarse perception,image style & quality,1.0,0.0,1.0,0.0
InternVL3_5-1B,191,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,192,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,193,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,194,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,195,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,196,coarse perception,image emotion,1.0,1.0,0.0,1.0
InternVL3_5-1B,197,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,198,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,199,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,200,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,201,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,202,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,203,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,204,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,205,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,206,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,207,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,208,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,209,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,210,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,211,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,212,coarse perception,image emotion,1.0,1.0,0.0,1.0
InternVL3_5-1B,213,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,214,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,215,coarse perception,image style & quality,0.0,1.0,0.0,0.0
InternVL3_5-1B,216,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,217,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,218,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,219,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,220,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,221,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,222,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,223,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,224,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,225,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,226,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,227,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,228,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,229,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,230,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,231,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,232,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,233,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,234,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,235,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,236,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,237,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,238,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,239,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,240,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,241,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,242,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,243,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,244,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,245,coarse perception,image style & quality,1.0,1.0,1.0,0.0
InternVL3_5-1B,246,coarse perception,image style & quality,1.0,1.0,0.0,1.0
InternVL3_5-1B,247,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,248,coarse perception,image emotion,1.0,0.0,1.0,0.0
InternVL3_5-1B,249,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,250,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,251,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,252,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,253,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,254,fine-grained perception,object counting,1.0,0.0,0.0,1.0
InternVL3_5-1B,255,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,256,fine-grained perception,recognition,1.0,1.0,0.0,1.0
InternVL3_5-1B,257,fine-grained perception,localization,1.0,1.0,0.0,1.0
InternVL3_5-1B,258,fine-grained perception,recognition,1.0,1.0,1.0,0.0
InternVL3_5-1B,259,fine-grained perception,localization,0.0,0.0,0.0,0.0
InternVL3_5-1B,260,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,261,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,262,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,263,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,264,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,265,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,266,fine-grained perception,object counting,1.0,0.0,0.0,1.0
InternVL3_5-1B,267,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,268,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,269,fine-grained perception,recognition,1.0,0.0,0.0,1.0
InternVL3_5-1B,270,fine-grained perception,recognition,1.0,0.0,0.0,1.0
InternVL3_5-1B,271,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,272,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,273,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,274,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,275,fine-grained perception,recognition,1.0,1.0,1.0,0.0
InternVL3_5-1B,276,fine-grained perception,recognition,1.0,0.0,0.0,1.0
InternVL3_5-1B,277,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,278,fine-grained perception,object counting,1.0,0.0,0.0,1.0
InternVL3_5-1B,279,fine-grained perception,localization,0.0,1.0,1.0,-1.0
InternVL3_5-1B,280,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,281,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,282,fine-grained perception,recognition,0.0,1.0,1.0,-1.0
InternVL3_5-1B,283,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,284,fine-grained perception,localization,1.0,0.0,0.0,1.0
InternVL3_5-1B,285,fine-grained perception,localization,0.0,0.0,0.0,0.0
InternVL3_5-1B,286,fine-grained perception,localization,0.0,0.0,0.0,0.0
InternVL3_5-1B,287,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,288,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,289,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,290,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,291,fine-grained perception,recognition,1.0,0.0,0.0,1.0
InternVL3_5-1B,292,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,293,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,294,fine-grained perception,localization,0.0,1.0,1.0,-1.0
InternVL3_5-1B,295,fine-grained perception,recognition,1.0,0.0,0.0,1.0
InternVL3_5-1B,296,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,297,fine-grained perception,object counting,0.0,1.0,0.0,0.0
InternVL3_5-1B,298,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,299,fine-grained perception,recognition,0.0,1.0,1.0,-1.0
InternVL3_5-1B,300,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,301,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,302,fine-grained perception,localization,0.0,0.0,0.0,0.0
InternVL3_5-1B,303,fine-grained perception,object counting,0.0,1.0,1.0,-1.0
InternVL3_5-1B,304,fine-grained perception,recognition,0.0,1.0,0.0,0.0
InternVL3_5-1B,305,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,306,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,307,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,308,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,309,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,310,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,311,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,312,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,313,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,314,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,315,fine-grained perception,recognition,1.0,0.0,1.0,0.0
InternVL3_5-1B,316,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,317,fine-grained perception,localization,0.0,0.0,0.0,0.0
InternVL3_5-1B,318,fine-grained perception,object counting,0.0,1.0,1.0,-1.0
InternVL3_5-1B,319,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,320,fine-grained perception,localization,0.0,0.0,0.0,0.0
InternVL3_5-1B,321,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,322,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,323,fine-grained perception,recognition,0.0,1.0,1.0,-1.0
InternVL3_5-1B,324,fine-grained perception,object counting,1.0,1.0,1.0,0.0
InternVL3_5-1B,325,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,326,fine-grained perception,recognition,1.0,0.0,0.0,1.0
InternVL3_5-1B,327,fine-grained perception,recognition,0.0,0.0,0.0,0.0
InternVL3_5-1B,328,fine-grained perception,recognition,0.0,1.0,1.0,-1.0
InternVL3_5-1B,329,fine-grained perception,recognition,1.0,0.0,0.0,1.0
InternVL3_5-1B,330,fine-grained perception,object counting,0.0,1.0,1.0,-1.0
InternVL3_5-1B,331,fine-grained perception,object counting,0.0,0.0,0.0,0.0
InternVL3_5-1B,332,fine-grained perception,object counting,0.0,1.0,1.0,-1.0
InternVL3_5-1B,333,fine-grained perception,recognition,1.0,1.0,0.0,1.0
InternVL3_5-1B,334,fine-grained perception,object counting,1.0,1.0,1.0,0.0
InternVL3_5-1B,335,fine-grained perception,object counting,0.0,0.0,0.0,0.0
